,City_Name,Country_Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
80,boyolangu,id,-13.47093151172227,110.84806364392591,80.85,100,20,8.77
81,rikitea,pf,-56.81431714244932,-136.27275195312973,38.96,99,80,26.11
82,half moon bay,us,34.05622307389879,-127.35062252411481,60.83,100,0,6.87
83,puerto ayora,ec,-8.404622431758256,-110.24648594925385,74.37,100,100,16.49
84,bethel,us,46.49167174999593,-170.80081662577348,44.31,100,88,17.83
85,bengkulu,id,-11.359098400452055,89.9831586760751,79.32,100,92,14.03
86,victoria,sc,-4.311837373081644,60.03413117200188,77.97,100,68,14.58
87,ilulissat,gl,77.9296977926951,-47.0868220882667,-4.83,70,64,12.68
88,dunedin,nz,-52.17927374003379,175.0454641126492,48.23,90,32,43.55
89,mar del plata,ar,-57.25394187292721,-33.38391458985751,34.14,100,44,13.69
90,bluff,nz,-50.442721311644654,168.25445393092315,49.17,100,92,26.89
91,qaanaaq,gl,73.62176221002866,-83.496118356998,5.66,82,88,5.97
92,port elizabeth,za,-61.97984769139582,30.477658991480297,30.59,99,88,11.01
93,port hedland,au,-24.22692132193778,120.86815653986883,83.46,47,24,11.45
94,mount gambier,au,-50.13917308161348,131.1283669809216,45.75,96,64,10.11
95,hilo,us,11.096728143340755,-141.74919442555256,77.88,100,76,14.03
96,paamiut,gl,58.877979485459235,-50.177170356885654,33.29,100,36,14.58
97,abha,sa,19.421737663183123,42.172328286228606,63.93,42,0,0.94
98,namibe,ao,-14.914754330539651,5.6086628113475,70.46,100,80,10.22
99,butaritari,ki,9.587935095343852,163.89945506983378,84.23,100,76,22.64
100,turukhansk,ru,63.69456771273025,87.89833910059156,11.73,83,68,14.92
101,bengkulu,id,-20.812499624083657,86.8060118371937,73.11,100,0,17.27
102,guerrero negro,mx,16.318598544294574,-127.65101341524817,74.37,100,88,12.35
103,albany,au,-82.31584663774812,93.97097978869283,-30.93,32,0,3.74
104,ushuaia,ar,-83.44995055312467,-28.875209560022824,2.33,77,0,9.55
105,brae,gb,64.06847125475988,-0.41803040131995317,42.78,100,76,17.27
106,mansa,zm,-11.513866433005163,29.094883280461772,71.58,90,92,4.18
107,punta arenas,cl,-71.61520674858053,-108.17834380985957,30.18,100,44,16.26
108,alyangula,au,-15.196057420922642,137.03121099626674,88.14,95,8,6.31
109,ponta delgada,pt,33.680390558589025,-26.991455527084725,69.11,100,0,3.85
110,kokoda,pg,-9.370183112746503,147.88523956691364,71.18,93,92,2.73
111,illoqqortoormiut,gl,89.47896515262079,-27.53606617681436,-5.73,72,32,26.44
112,alofi,nu,-24.94425850175996,-169.03247320472212,71.04,100,8,35.84
113,tanete,id,-6.888800558462961,120.66625391048564,82.2,100,88,12.91
114,bluff,nz,-84.0432618615654,151.53004686590054,-11.49,67,0,14.25
115,butaritari,ki,17.721881991598607,176.87615999069425,79.28,100,48,17.6
116,ilulissat,gl,85.52561809120414,-40.116249547070026,15.83,85,64,26.33
117,kaitangata,nz,-64.9992683581705,174.26230484350947,31.13,93,92,15.82
118,punta arenas,cl,-68.72419984725803,-91.60344376780425,30.41,100,88,15.82
119,atuona,pf,0.37376811610084815,-150.1486185228767,75.09,100,92,12.8
120,castro,cl,-52.739638442167895,-106.36082327323729,45.26,98,48,29.46
121,christchurch,nz,-50.847064937372934,178.72319975258335,49.44,95,88,36.51
122,dickinson,us,46.32161746138192,-103.18670370723333,33.76,34,1,12.75
123,tommot,ru,59.227718246178,126.3763681764375,-26.61,40,56,3.96
124,coquimbo,cl,-28.680338596398897,-74.65332523191685,62.4,100,0,13.8
125,port alfred,za,-67.33701258771285,36.284655283388275,31.26,100,64,22.97
126,kruisfontein,za,-78.06322740334487,28.64635320355069,-20.76,56,0,5.3
127,jamestown,sh,-26.470411104507882,-10.261725755026191,69.51,100,80,13.47
128,rikitea,pf,-19.46926544277109,-141.5673504132326,77.93,100,76,11.34
129,mahebourg,mu,-51.3016446362408,78.73372654953522,38.73,96,88,37.63
130,carnarvon,au,-20.973183366521,97.87647433309996,71.18,100,64,15.82
